number,value,datetime_start,datetime_complete,duration,params_aggregation,params_depth,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
39,0.21591754878129535,2026-02-03 01:37:12.395410,2026-02-03 01:37:39.996619,0 days 00:00:27.601209,mean,1,0.024573965379840274,32,0.0018016220572355563,4.303817926215656e-05,"{'val_rmse_mean': 0.6855372786521912, 'val_mae_mean': 0.5168629288673401, 'val_r2_mean': 0.27551645040512085, 'val_rmse_target_0': 0.6855372786521912, 'val_mae_target_0': 0.5168629288673401, 'val_r2_target_0': 0.27551645040512085}",COMPLETE
40,0.2455330107283468,2026-02-03 01:37:40.119153,2026-02-03 01:38:12.662584,0 days 00:00:32.543431,attention,2,0.4422906093842559,128,0.0014389270048197535,0.00028979366546074645,"{'val_rmse_mean': 0.721384584903717, 'val_mae_mean': 0.5949721336364746, 'val_r2_mean': 0.005756378173828125, 'val_rmse_target_0': 0.721384584903717, 'val_mae_target_0': 0.5949721336364746, 'val_r2_target_0': 0.005756378173828125}",COMPLETE
41,0.22697592861476112,2026-02-03 01:38:12.783200,2026-02-03 01:38:46.243101,0 days 00:00:33.459901,attention,3,0.41609698381209537,128,0.002320150805395837,0.00017353297254723394,"{'val_rmse_mean': 0.7105196714401245, 'val_mae_mean': 0.5388016104698181, 'val_r2_mean': 0.13549911975860596, 'val_rmse_target_0': 0.7105196714401245, 'val_mae_target_0': 0.5388016104698181, 'val_r2_target_0': 0.13549911975860596}",COMPLETE
42,0.19595106498859927,2026-02-03 01:38:46.365074,2026-02-03 01:39:20.496277,0 days 00:00:34.131203,attention,3,0.49625376162915136,128,0.004209038548652553,0.00036941904722468977,"{'val_rmse_mean': 0.6524507999420166, 'val_mae_mean': 0.4645179510116577, 'val_r2_mean': 0.19006896018981934, 'val_rmse_target_0': 0.6524507999420166, 'val_mae_target_0': 0.4645179510116577, 'val_r2_target_0': 0.19006896018981934}",COMPLETE
43,0.23885079598026263,2026-02-03 01:39:20.618666,2026-02-03 01:39:55.204249,0 days 00:00:34.585583,attention,3,0.4783824935544606,128,0.004279770660393678,0.0006823521185640101,"{'val_rmse_mean': 0.7233661413192749, 'val_mae_mean': 0.527837336063385, 'val_r2_mean': 0.025085389614105225, 'val_rmse_target_0': 0.7233661413192749, 'val_mae_target_0': 0.527837336063385, 'val_r2_target_0': 0.025085389614105225}",COMPLETE
44,0.22885522045732984,2026-02-03 01:39:55.326088,2026-02-03 01:40:28.665070,0 days 00:00:33.338982,attention,3,0.19287657728244662,128,0.00342867482828341,0.0003791138487452851,"{'val_rmse_mean': 0.7080711126327515, 'val_mae_mean': 0.5444923043251038, 'val_r2_mean': 0.21838688850402832, 'val_rmse_target_0': 0.7080711126327515, 'val_mae_target_0': 0.5444923043251038, 'val_r2_target_0': 0.21838688850402832}",COMPLETE
45,0.21415627590505648,2026-02-03 01:40:28.789360,2026-02-03 01:41:02.799507,0 days 00:00:34.010147,attention,3,0.2504759335811724,128,0.004119584771720403,0.0011920758321298825,"{'val_rmse_mean': 0.680919349193573, 'val_mae_mean': 0.5246669054031372, 'val_r2_mean': 0.36020684242248535, 'val_rmse_target_0': 0.680919349193573, 'val_mae_target_0': 0.5246669054031372, 'val_r2_target_0': 0.36020684242248535}",COMPLETE
46,0.2577676856372919,2026-02-03 01:41:02.923453,2026-02-03 01:41:33.910732,0 days 00:00:30.987279,mean,3,0.05247016698662968,128,0.0001090050067132019,0.00048367988212177194,"{'val_rmse_mean': 0.748049259185791, 'val_mae_mean': 0.6024004817008972, 'val_r2_mean': -0.5538027286529541, 'val_rmse_target_0': 0.748049259185791, 'val_mae_target_0': 0.6024004817008972, 'val_r2_target_0': -0.5538027286529541}",COMPLETE
47,0.24522654250264436,2026-02-03 01:41:34.032315,2026-02-03 01:42:06.860427,0 days 00:00:32.828112,attention,2,0.3391449928275956,64,0.0049117256948277965,1.543666743431265e-05,"{'val_rmse_mean': 0.7646564841270447, 'val_mae_mean': 0.5503886342048645, 'val_r2_mean': 0.12672001123428345, 'val_rmse_target_0': 0.7646564841270447, 'val_mae_target_0': 0.5503886342048645, 'val_r2_target_0': 0.12672001123428345}",COMPLETE
48,0.2082109548591015,2026-02-03 01:42:06.982868,2026-02-03 01:42:39.626196,0 days 00:00:32.643328,attention,3,0.4454570939252774,128,0.0011978850628705804,0.00032393012821944564,"{'val_rmse_mean': 0.6745534539222717, 'val_mae_mean': 0.5121585130691528, 'val_r2_mean': 0.20652949810028076, 'val_rmse_target_0': 0.6745534539222717, 'val_mae_target_0': 0.5121585130691528, 'val_r2_target_0': 0.20652949810028076}",COMPLETE
49,0.2839657348180211,2026-02-03 01:42:39.748949,2026-02-03 01:43:13.533768,0 days 00:00:33.784819,attention,3,0.44836068182963307,128,0.00048599088001555386,0.0003056330651524074,"{'val_rmse_mean': 0.8264192938804626, 'val_mae_mean': 0.6186489462852478, 'val_r2_mean': -0.2156311273574829, 'val_rmse_target_0': 0.8264192938804626, 'val_mae_target_0': 0.6186489462852478, 'val_r2_target_0': -0.2156311273574829}",COMPLETE
