number,value,datetime_start,datetime_complete,duration,params_aggregation,params_dropout,params_hidden_dim,params_lr,params_weight_decay,user_attrs_val_metrics,state
10,0.3194833555831725,2026-02-04 09:27:39.096447,2026-02-04 09:28:11.432393,0 days 00:00:32.335946,mean,0.005605682868329687,32,0.00012033785224179884,0.00043409802976786727,"{'val_rmse_mean': 0.8811002969741821, 'val_mae_mean': 0.6507483720779419, 'val_r2_mean': -16.104625701904297, 'val_rmse_target_0': 0.8811002969741821, 'val_mae_target_0': 0.6507483720779419, 'val_r2_target_0': -16.104625701904297}",COMPLETE
11,0.2324160422215721,2026-02-04 09:28:11.655573,2026-02-04 09:28:47.269375,0 days 00:00:35.613802,attention,0.235931907146948,32,0.00028460365658336876,0.008714220847350976,"{'val_rmse_mean': 0.7279472947120667, 'val_mae_mean': 0.5459057688713074, 'val_r2_mean': -1.567612648010254, 'val_rmse_target_0': 0.7279472947120667, 'val_mae_target_0': 0.5459057688713074, 'val_r2_target_0': -1.567612648010254}",COMPLETE
12,0.3639718777990816,2026-02-04 09:28:47.492904,2026-02-04 09:29:21.561523,0 days 00:00:34.068619,attention,0.3842587990337959,32,0.00016475435635443479,0.009442322355367287,"{'val_rmse_mean': 0.9437798261642456, 'val_mae_mean': 0.7282615900039673, 'val_r2_mean': -9.65020751953125, 'val_rmse_target_0': 0.9437798261642456, 'val_mae_target_0': 0.7282615900039673, 'val_r2_target_0': -9.65020751953125}",COMPLETE
13,0.20968395141028817,2026-02-04 09:29:21.784610,2026-02-04 09:29:55.818318,0 days 00:00:34.033708,attention,0.21018184203864948,32,0.00034695537267241124,1.1012890752844827e-05,"{'val_rmse_mean': 0.6763750910758972, 'val_mae_mean': 0.528886079788208, 'val_r2_mean': -0.455582857131958, 'val_rmse_target_0': 0.6763750910758972, 'val_mae_target_0': 0.528886079788208, 'val_r2_target_0': -0.455582857131958}",COMPLETE
14,0.28257955668907553,2026-02-04 09:29:56.041196,2026-02-04 09:30:29.291799,0 days 00:00:33.250603,mean,0.10773020529414268,32,0.0002216710705601469,2.0006827648994246e-05,"{'val_rmse_mean': 0.8097421526908875, 'val_mae_mean': 0.6119738221168518, 'val_r2_mean': -5.3785834312438965, 'val_rmse_target_0': 0.8097421526908875, 'val_mae_target_0': 0.6119738221168518, 'val_r2_target_0': -5.3785834312438965}",COMPLETE
15,0.2653638125085746,2026-02-04 09:30:29.515270,2026-02-04 09:31:04.933210,0 days 00:00:35.417940,attention,0.19613798831239804,32,0.0005082652632083664,1.0947035438738038e-05,"{'val_rmse_mean': 0.7778990268707275, 'val_mae_mean': 0.585152804851532, 'val_r2_mean': -0.041013479232788086, 'val_rmse_target_0': 0.7778990268707275, 'val_mae_target_0': 0.585152804851532, 'val_r2_target_0': -0.041013479232788086}",COMPLETE
16,0.29083793780969075,2026-02-04 09:31:05.157723,2026-02-04 09:31:41.452378,0 days 00:00:36.294655,attention,0.06163478129177569,64,0.00019497328257783776,5.547959592414062e-05,"{'val_rmse_mean': 0.8098436594009399, 'val_mae_mean': 0.6064655184745789, 'val_r2_mean': -2.4383950233459473, 'val_rmse_target_0': 0.8098436594009399, 'val_mae_target_0': 0.6064655184745789, 'val_r2_target_0': -2.4383950233459473}",COMPLETE
17,0.3449115075895356,2026-02-04 09:31:41.674520,2026-02-04 09:32:17.017131,0 days 00:00:35.342611,attention,0.3417042219066753,32,0.00010635391337665567,0.00010629649335615207,"{'val_rmse_mean': 0.9120023250579834, 'val_mae_mean': 0.7049503326416016, 'val_r2_mean': -21.499521255493164, 'val_rmse_target_0': 0.9120023250579834, 'val_mae_target_0': 0.7049503326416016, 'val_r2_target_0': -21.499521255493164}",COMPLETE
18,0.2322747947697213,2026-02-04 09:32:17.240933,2026-02-04 09:32:50.056131,0 days 00:00:32.815198,mean,0.21509034358643175,32,0.0006232398217338122,0.00041656293967683584,"{'val_rmse_mean': 0.7184018492698669, 'val_mae_mean': 0.5423657894134521, 'val_r2_mean': -0.13093960285186768, 'val_rmse_target_0': 0.7184018492698669, 'val_mae_target_0': 0.5423657894134521, 'val_r2_target_0': -0.13093960285186768}",COMPLETE
19,0.3212327513724126,2026-02-04 09:32:50.279548,2026-02-04 09:33:25.054583,0 days 00:00:34.775035,attention,0.27722841901306283,64,0.001933618711041216,2.7547804493489267e-05,"{'val_rmse_mean': 0.8479529023170471, 'val_mae_mean': 0.6804189085960388, 'val_r2_mean': -0.711402177810669, 'val_rmse_target_0': 0.8479529023170471, 'val_mae_target_0': 0.6804189085960388, 'val_r2_target_0': -0.711402177810669}",COMPLETE
20,0.26060457549195876,2026-02-04 09:33:25.275953,2026-02-04 09:34:00.288372,0 days 00:00:35.012419,attention,0.1614206906911438,32,0.00026239103340327554,1.0153648626538148e-05,"{'val_rmse_mean': 0.778558611869812, 'val_mae_mean': 0.5708890557289124, 'val_r2_mean': -2.5338237285614014, 'val_rmse_target_0': 0.778558611869812, 'val_mae_target_0': 0.5708890557289124, 'val_r2_target_0': -2.5338237285614014}",COMPLETE
21,0.2442920041498048,2026-02-04 09:34:00.513262,2026-02-04 09:34:34.058266,0 days 00:00:33.545004,mean,0.2251163335356782,32,0.000521689125487008,0.0004661353255163522,"{'val_rmse_mean': 0.7456861734390259, 'val_mae_mean': 0.5500661134719849, 'val_r2_mean': -0.5232431888580322, 'val_rmse_target_0': 0.7456861734390259, 'val_mae_target_0': 0.5500661134719849, 'val_r2_target_0': -0.5232431888580322}",COMPLETE
22,0.2452901524601556,2026-02-04 09:34:34.281273,2026-02-04 09:35:07.666247,0 days 00:00:33.384974,mean,0.2212342289499173,32,0.0006397533017830289,0.0008189988756546326,"{'val_rmse_mean': 0.7447823286056519, 'val_mae_mean': 0.5569088459014893, 'val_r2_mean': -0.2371612787246704, 'val_rmse_target_0': 0.7447823286056519, 'val_mae_target_0': 0.5569088459014893, 'val_r2_target_0': -0.2371612787246704}",COMPLETE
