number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_num_conv_layers,params_path_attention_type,params_path_dim,params_regressor_dim,params_ts_out_channels,params_weight_decay,user_attrs_val_metrics,state
21,0.4596301768604597,2026-02-04 01:14:01.126294,2026-02-04 01:14:39.481848,0 days 00:00:38.355554,16,0.41767380645780794,6.889809042709472e-05,2,mean,4,32,16,0.009053473745574721,"{'val_rmse_mean': 1.0276340246200562, 'val_mae_mean': 0.8504126667976379, 'val_r2_mean': -54.356689453125, 'val_rmse_target_0': 1.0276340246200562, 'val_mae_target_0': 0.8504126667976379, 'val_r2_target_0': -54.356689453125}",COMPLETE
22,0.4671013152606233,2026-02-04 01:14:39.682065,2026-02-04 01:15:21.941330,0 days 00:00:42.259265,16,0.36994742694354776,0.00010847314196449107,2,mean,4,32,16,0.009920367394820748,"{'val_rmse_mean': 1.032841682434082, 'val_mae_mean': 0.8823270201683044, 'val_r2_mean': -60.38986587524414, 'val_rmse_target_0': 1.032841682434082, 'val_mae_target_0': 0.8823270201683044, 'val_r2_target_0': -60.38986587524414}",COMPLETE
23,0.46704274495735904,2026-02-04 01:15:22.140494,2026-02-04 01:16:05.111158,0 days 00:00:42.970664,16,0.45638283790365053,6.067727813554753e-05,2,mean,4,32,16,0.007729187978482824,"{'val_rmse_mean': 1.0343148708343506, 'val_mae_mean': 0.8522215485572815, 'val_r2_mean': -64.10881805419922, 'val_rmse_target_0': 1.0343148708343506, 'val_mae_target_0': 0.8522215485572815, 'val_r2_target_0': -64.10881805419922}",COMPLETE
24,0.4843146334049177,2026-02-04 01:16:05.313113,2026-02-04 01:16:48.071855,0 days 00:00:42.758742,16,0.41028765914887294,0.000493238831525486,2,mean,4,32,16,0.00788639067084647,"{'val_rmse_mean': 1.054678201675415, 'val_mae_mean': 0.88132244348526, 'val_r2_mean': -94.30035400390625, 'val_rmse_target_0': 1.054678201675415, 'val_mae_target_0': 0.88132244348526, 'val_r2_target_0': -94.30035400390625}",COMPLETE
25,0.42573559737798794,2026-02-04 01:16:48.270684,2026-02-04 01:17:30.120884,0 days 00:00:41.850200,16,0.4711584873577989,8.738346063334517e-05,2,mean,4,32,16,0.005846770417302037,"{'val_rmse_mean': 0.9929694533348083, 'val_mae_mean': 0.8077751994132996, 'val_r2_mean': -36.0304069519043, 'val_rmse_target_0': 0.9929694533348083, 'val_mae_target_0': 0.8077751994132996, 'val_r2_target_0': -36.0304069519043}",COMPLETE
26,0.4964496571165337,2026-02-04 01:17:30.318785,2026-02-04 01:18:11.529431,0 days 00:00:41.210646,16,0.47114427175188484,8.861370962928139e-05,2,mean,4,256,16,0.00600223245523703,"{'val_rmse_mean': 1.073493242263794, 'val_mae_mean': 0.8976655602455139, 'val_r2_mean': -68.33870697021484, 'val_rmse_target_0': 1.073493242263794, 'val_mae_target_0': 0.8976655602455139, 'val_r2_target_0': -68.33870697021484}",COMPLETE
27,0.47937306865437507,2026-02-04 01:18:11.727265,2026-02-04 01:18:54.994321,0 days 00:00:43.267056,16,0.33589934151484974,0.00015700908126661602,2,mean,4,128,16,0.001088783306120261,"{'val_rmse_mean': 1.0563141107559204, 'val_mae_mean': 0.8813189268112183, 'val_r2_mean': -107.83357238769531, 'val_rmse_target_0': 1.0563141107559204, 'val_mae_target_0': 0.8813189268112183, 'val_r2_target_0': -107.83357238769531}",COMPLETE
28,0.43448109086602926,2026-02-04 01:18:55.193322,2026-02-04 01:19:35.203697,0 days 00:00:40.010375,16,0.40304481451831903,0.00011298756071492251,2,mean,16,32,16,0.004194751201636988,"{'val_rmse_mean': 0.9890463948249817, 'val_mae_mean': 0.83971107006073, 'val_r2_mean': -63.138275146484375, 'val_rmse_target_0': 0.9890463948249817, 'val_mae_target_0': 0.83971107006073, 'val_r2_target_0': -63.138275146484375}",COMPLETE
29,0.4487867411053567,2026-02-04 01:19:35.402262,2026-02-04 01:20:17.250246,0 days 00:00:41.847984,16,0.423730770688703,0.00011202715653000375,2,mean,16,32,16,0.0024195856033100544,"{'val_rmse_mean': 1.0069948434829712, 'val_mae_mean': 0.8573740720748901, 'val_r2_mean': -93.47186279296875, 'val_rmse_target_0': 1.0069948434829712, 'val_mae_target_0': 0.8573740720748901, 'val_r2_target_0': -93.47186279296875}",COMPLETE
30,0.4663698597157943,2026-02-04 01:20:17.448519,2026-02-04 01:20:58.583750,0 days 00:00:41.135231,16,0.481654422294431,8.222566902043482e-05,2,mean,16,64,16,0.004094054990707988,"{'val_rmse_mean': 1.0371180772781372, 'val_mae_mean': 0.856779158115387, 'val_r2_mean': -125.30362701416016, 'val_rmse_target_0': 1.0371180772781372, 'val_mae_target_0': 0.856779158115387, 'val_r2_target_0': -125.30362701416016}",COMPLETE
31,0.44021870963344417,2026-02-04 01:20:58.781405,2026-02-04 01:21:38.978860,0 days 00:00:40.197455,16,0.3924718518933546,6.053089507935494e-05,2,mean,16,32,16,0.003371246666699956,"{'val_rmse_mean': 1.0210825204849243, 'val_mae_mean': 0.8261439204216003, 'val_r2_mean': -83.69645690917969, 'val_rmse_target_0': 1.0210825204849243, 'val_mae_target_0': 0.8261439204216003, 'val_r2_target_0': -83.69645690917969}",COMPLETE
